"MessageNumber","DiagnosisTypes","Timestamp","TimeElapsed","Module","Summary","UsbDevice","TransferData"
"4725","None","2017-08-01T09:25:13.7496094","0.0007023","UsbSpec","Control Out Transfer","2 ","08,03,7C,00,C3,00,00,00",
"4724","None","2017-08-01T09:25:13.7495259","0.0159793","UsbSpec","Interrupt In Transfer","2 ","00,08,03,80,30,30,30,30",
"4721","None","2017-08-01T09:25:13.7416137","0.0004788","UsbSpec","Control Out Transfer","2 ","08,03,78,00,C3,00,00,00",
"4720","None","2017-08-01T09:25:13.7415609","0.0158965","UsbSpec","Interrupt In Transfer","2 ","00,08,03,7C,30,30,30,30",
"4717","None","2017-08-01T09:25:13.7340304","0.0005826","UsbSpec","Control Out Transfer","2 ","08,03,74,00,C3,00,00,00",
"4716","None","2017-08-01T09:25:13.7339541","0.0155367","UsbSpec","Interrupt In Transfer","2 ","00,08,03,78,30,30,30,30",
"4713","None","2017-08-01T09:25:13.7259052","0.0007805","UsbSpec","Control Out Transfer","2 ","08,03,70,00,C3,00,00,00",
"4712","None","2017-08-01T09:25:13.7258414","0.0156519","UsbSpec","Interrupt In Transfer","2 ","00,08,03,74,30,30,30,30",
"4709","None","2017-08-01T09:25:13.7179334","0.0006090","UsbSpec","Control Out Transfer","2 ","08,03,6C,00,C3,00,00,00",
"4708","None","2017-08-01T09:25:13.7178401","0.0160853","UsbSpec","Interrupt In Transfer","2 ","00,08,03,70,30,30,30,30",
"4705","None","2017-08-01T09:25:13.7101242","0.0008111","UsbSpec","Control Out Transfer","2 ","08,03,68,00,C3,00,00,00",
"4704","None","2017-08-01T09:25:13.7100336","0.0157836","UsbSpec","Interrupt In Transfer","2 ","00,08,03,6C,30,30,30,30",
"4701","None","2017-08-01T09:25:13.7018016","0.0008699","UsbSpec","Control Out Transfer","2 ","08,03,64,00,C3,00,00,00",
"4700","None","2017-08-01T09:25:13.7017136","0.0161008","UsbSpec","Interrupt In Transfer","2 ","00,08,03,68,30,30,30,30",
"4697","None","2017-08-01T09:25:13.6935779","0.0007355","UsbSpec","Control Out Transfer","2 ","08,03,60,00,C3,00,00,00",
"4696","None","2017-08-01T09:25:13.6935326","0.0164836","UsbSpec","Interrupt In Transfer","2 ","00,08,03,64,30,30,30,30",
"4693","None","2017-08-01T09:25:13.6859326","0.0007185","UsbSpec","Control Out Transfer","2 ","08,03,5C,00,C3,00,00,00",
"4692","None","2017-08-01T09:25:13.6858454","0.0158516","UsbSpec","Interrupt In Transfer","2 ","00,08,03,60,30,30,30,30",
"4689","None","2017-08-01T09:25:13.6778701","0.0007431","UsbSpec","Control Out Transfer","2 ","08,03,58,00,C3,00,00,00",
"4688","None","2017-08-01T09:25:13.6777836","0.0157259","UsbSpec","Interrupt In Transfer","2 ","00,08,03,5C,30,30,30,30",
"4685","None","2017-08-01T09:25:13.6702271","0.0006087","UsbSpec","Control Out Transfer","2 ","08,03,54,00,C3,00,00,00",
"4684","None","2017-08-01T09:25:13.6701452","0.0156802","UsbSpec","Interrupt In Transfer","2 ","00,08,03,58,30,30,30,30",
"4681","None","2017-08-01T09:25:13.6616889","0.0004217","UsbSpec","Control Out Transfer","2 ","08,03,50,00,C3,00,00,00",
"4680","None","2017-08-01T09:25:13.6616220","0.0161465","UsbSpec","Interrupt In Transfer","2 ","00,08,03,54,30,30,30,30",
"4677","None","2017-08-01T09:25:13.6538261","0.0008949","UsbSpec","Control Out Transfer","2 ","08,03,4C,00,C3,00,00,00",
"4676","None","2017-08-01T09:25:13.6537533","0.0163738","UsbSpec","Interrupt In Transfer","2 ","00,08,03,50,30,30,30,30",
"4673","None","2017-08-01T09:25:13.6454842","0.0004471","UsbSpec","Control Out Transfer","2 ","08,03,48,00,C3,00,00,00",
"4672","None","2017-08-01T09:25:13.6454382","0.0161593","UsbSpec","Interrupt In Transfer","2 ","00,08,03,4C,30,30,30,30",
"4669","None","2017-08-01T09:25:13.6374924","0.0004281","UsbSpec","Control Out Transfer","2 ","08,03,44,00,C3,00,00,00",
"4668","None","2017-08-01T09:25:13.6374459","0.0162881","UsbSpec","Interrupt In Transfer","2 ","00,08,03,48,30,30,30,30",
"4665","None","2017-08-01T09:25:13.6294846","0.0004516","UsbSpec","Control Out Transfer","2 ","08,03,40,00,C3,00,00,00",
"4664","None","2017-08-01T09:25:13.6294351","0.0159951","UsbSpec","Interrupt In Transfer","2 ","00,08,03,44,30,30,30,30",
"4661","None","2017-08-01T09:25:13.6215388","0.0004920","UsbSpec","Control Out Transfer","2 ","08,03,3C,00,C3,00,00,00",
"4660","None","2017-08-01T09:25:13.6214757","0.0159551","UsbSpec","Interrupt In Transfer","2 ","00,08,03,40,30,30,30,30",
"4657","None","2017-08-01T09:25:13.6135594","0.0004304","UsbSpec","Control Out Transfer","2 ","08,03,38,00,C3,00,00,00",
"4656","None","2017-08-01T09:25:13.6134805","0.0159486","UsbSpec","Interrupt In Transfer","2 ","00,08,03,3C,30,30,30,30",
"4653","None","2017-08-01T09:25:13.6055649","0.0005097","UsbSpec","Control Out Transfer","2 ","08,03,34,00,C3,00,00,00",
"4652","None","2017-08-01T09:25:13.6055256","0.0159437","UsbSpec","Interrupt In Transfer","2 ","00,08,03,38,30,30,30,30",
"4649","None","2017-08-01T09:25:13.5979136","0.0007819","UsbSpec","Control Out Transfer","2 ","08,03,30,00,C3,00,00,00",
"4648","None","2017-08-01T09:25:13.5978460","0.0156243","UsbSpec","Interrupt In Transfer","2 ","00,08,03,34,30,30,30,30",
"4645","None","2017-08-01T09:25:13.5900621","0.0004569","UsbSpec","Control Out Transfer","2 ","08,03,2C,00,C3,00,00,00",
"4644","None","2017-08-01T09:25:13.5899945","0.0155001","UsbSpec","Interrupt In Transfer","2 ","00,08,03,30,30,30,30,30",
"4641","None","2017-08-01T09:25:13.5822606","0.0006324","UsbSpec","Control Out Transfer","2 ","08,03,28,00,C3,00,00,00",
"4640","Validation","2017-08-01T09:25:13.5822009","0.0156130","UsbSpec","Interrupt In Transfer","2 ","00,08,03,2C,30,30,30,30",
"4637","None","2017-08-01T09:25:13.5735615","0.0005006","UsbSpec","Control Out Transfer","2 ","08,03,24,00,C3,00,00,00",
"4636","None","2017-08-01T09:25:13.5734946","0.0164316","UsbSpec","Interrupt In Transfer","2 ","00,08,03,28,30,30,30,30",
"4633","None","2017-08-01T09:25:13.5658188","0.0005898","UsbSpec","Control Out Transfer","2 ","08,03,20,00,C3,00,00,00",
