# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Thu Jun 04 17:47:52 2015
#
# Level,Index,Dur,Len,Ep,Record,Summary
1,168,45.479 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 00 01 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,169,1.479 us,1 B,01,   ACK packet,D2
0,170,104.166 us,64 B,01,IN txn   [4 POLL],C1 C0 00 00 29 00 0C 00 00 01 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,171,44.354 us,,01,   [4 IN-NAK],
1,172,2.833 us,3 B,01,   IN packet,69 98 30
1,173,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 29 00 0C 00 00 01 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,174,1.500 us,1 B,01,   ACK packet,D2
0,175,50.854 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 06 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,176,2.833 us,3 B,01,   OUT packet,E1 98 30
1,177,45.583 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 00 06 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,178,1.500 us,1 B,01,   ACK packet,D2
0,179,2.833 us,,,[1 SOF],[Frame: 882] 
0,180,203.750 us,64 B,01,IN txn   [9 POLL],C1 C0 00 00 29 00 0C 00 00 06 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,181,144.270 us,,01,   [9 IN-NAK],
1,182,2.833 us,3 B,01,   IN packet,69 98 30
1,183,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 29 00 0C 00 00 06 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,184,1.500 us,1 B,01,   ACK packet,D2
0,185,50.833 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 04 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,186,2.833 us,3 B,01,   OUT packet,E1 98 30
1,187,45.583 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 00 04 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,188,1.479 us,1 B,01,   ACK packet,D2
0,189,195.562 us,64 B,01,IN txn   [9 POLL],C1 C0 00 00 29 00 0C 00 00 04 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,190,136.604 us,,01,   [9 IN-NAK],
1,191,2.812 us,3 B,01,   IN packet,69 98 30
1,192,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 29 00 0C 00 00 04 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,193,1.479 us,1 B,01,   ACK packet,D2
0,194,2.812 us,,,[1 SOF],[Frame: 883] 
0,195,50.750 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 05 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,196,2.812 us,3 B,01,   OUT packet,E1 98 30
1,197,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 00 05 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,198,1.500 us,1 B,01,   ACK packet,D2
0,199,172.666 us,64 B,01,IN txn   [7 POLL],C1 C0 00 00 29 00 0C 00 00 05 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,200,113.770 us,,01,   [7 IN-NAK],
1,201,2.833 us,3 B,01,   IN packet,69 98 30
1,202,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 29 00 0C 00 00 05 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,203,1.500 us,1 B,01,   ACK packet,D2
0,204,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 02 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,205,2.833 us,3 B,01,   OUT packet,E1 98 30
1,206,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 00 02 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,207,1.500 us,1 B,01,   ACK packet,D2
0,208,2.833 us,,,[1 SOF],[Frame: 884] 
0,209,259.000 us,64 B,01,IN txn   [9 POLL],C1 C0 00 00 29 00 0C 00 00 02 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,210,135.291 us,,01,   [9 IN-NAK],
1,211,2.833 us,3 B,01,   IN packet,69 98 30
1,212,45.479 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 29 00 0C 00 00 02 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,213,1.500 us,1 B,01,   ACK packet,D2
0,214,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 03 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,215,2.833 us,3 B,01,   OUT packet,E1 98 30
1,216,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 00 03 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,217,1.500 us,1 B,01,   ACK packet,D2
0,218,199.729 us,64 B,01,IN txn   [9 POLL],C1 C0 00 00 29 00 0C 00 00 03 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,219,138.687 us,,01,   [9 IN-NAK],
1,220,2.812 us,3 B,01,   IN packet,69 98 30
1,221,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 29 00 0C 00 00 03 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,222,1.479 us,1 B,01,   ACK packet,D2
0,223,2.003.062 ms,,,[3 SOF],[Frames: 885 - 887] 
0,224,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,225,2.833 us,3 B,01,   OUT packet,E1 98 30
1,226,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,227,1.500 us,1 B,01,   ACK packet,D2
0,228,2.833 us,,,[1 SOF],[Frame: 888] 
0,229,601.250 us,64 B,01,IN txn   [33 POLL],C1 C0 00 00 21 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 05…
1,230,542.270 us,,01,   [33 IN-NAK],
1,231,2.833 us,3 B,01,   IN packet,69 98 30
1,232,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,233,1.500 us,1 B,01,   ACK packet,D2
0,234,30.006.291 ms,,,[31 SOF],[Frames: 889 - 919] 
0,235,50.854 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 80 10 10 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,236,2.833 us,3 B,01,   OUT packet,E1 98 30
1,237,45.583 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 80 10 10 00 00 00 00 00 00 00 00 00 00 00 00…
1,238,1.500 us,1 B,01,   ACK packet,D2
0,239,2.833 us,,,[1 SOF],[Frame: 920] 
0,240,175.895 us,64 B,01,IN txn   [2 POLL],C1 C0 00 00 21 00 00 00 80 10 10 00 00 00 00 00 00 00 00 00 00 00 00 02…
1,241,16.854 us,,01,   [2 IN-NAK],
1,242,2.833 us,3 B,01,   IN packet,69 98 30
1,243,45.583 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 80 10 10 00 00 00 00 00 00 00 00 00 00 00 00…
1,244,1.500 us,1 B,01,   ACK packet,D2
0,245,2.003.041 ms,,,[3 SOF],[Frames: 921 - 923] 
0,246,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 11 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,247,2.833 us,3 B,01,   OUT packet,E1 98 30
1,248,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 11 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,249,1.500 us,1 B,01,   ACK packet,D2
0,250,2.833 us,,,[1 SOF],[Frame: 924] 
0,251,148.583 us,64 B,01,IN txn   [3 POLL],C1 C0 00 00 29 00 0C 00 01 11 18 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,252,32.354 us,,01,   [3 IN-NAK],
1,253,2.833 us,3 B,01,   IN packet,69 98 30
1,254,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 29 00 0C 00 01 11 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,255,1.500 us,1 B,01,   ACK packet,D2
0,260,356.043.916 ms,,,[357 SOF],[Frames: 925 - 1281] 
0,261,50.770 us,64 B,01,OUT txn,C1 C0 00 00 04 00 00 00 10 00 11 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,262,2.812 us,3 B,01,   OUT packet,E1 98 30
1,263,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 04 00 00 00 10 00 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,264,1.479 us,1 B,01,   ACK packet,D2
0,265,71.062 us,64 B,01,IN txn   [1 POLL],C1 C0 00 00 23 00 00 00 10 00 11 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,266,4.687 us,,01,   [1 IN-NAK],
1,267,2.812 us,3 B,01,   IN packet,69 98 30
1,268,45.583 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 23 00 00 00 10 00 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,269,1.479 us,1 B,01,   ACK packet,D2
0,270,1.002.895 ms,,,[2 SOF],[Frames: 1282 - 1283] 
0,271,50.750 us,64 B,01,OUT txn,C1 C0 00 00 04 00 00 00 10 01 11 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,272,2.812 us,3 B,01,   OUT packet,E1 98 30
1,273,45.479 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 04 00 00 00 10 01 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,274,1.500 us,1 B,01,   ACK packet,D2
0,275,77.000 us,64 B,01,IN txn   [2 POLL],C1 C0 00 00 29 00 02 00 10 01 11 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,276,16.875 us,,01,   [2 IN-NAK],
1,277,2.833 us,3 B,01,   IN packet,69 98 30
1,278,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 29 00 02 00 10 01 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,279,1.500 us,1 B,01,   ACK packet,D2
0,280,1.002.895 ms,,,[2 SOF],[Frames: 1284 - 1285] 
0,281,50.770 us,64 B,01,OUT txn,C1 C0 00 00 04 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,282,2.833 us,3 B,01,   OUT packet,E1 98 30
1,283,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 04 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,284,1.500 us,1 B,01,   ACK packet,D2
0,285,2.833 us,,,[1 SOF],[Frame: 1286] 
0,286,143.333 us,64 B,01,IN txn   [2 POLL],C1 C0 00 00 23 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,287,18.020 us,,01,   [2 IN-NAK],
1,288,2.833 us,3 B,01,   IN packet,69 98 30
1,289,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 23 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00…
